"Id","Name","Model","Operating System","Operating Systemn Version","MAC Address","Serial Number","Manufacturer","Friendly Model","Vendor Unique Identifier","Vendor Name","Device Class","Form Factor","Product Type","Audio Enabled","Availability","Location","Retained By ID","Retained By Name","Enabled","Slot Number","Next Reservation Start Time","Next Reservation End Time","Reserved By ID","Reserved By Name","Last In Use","Last Disconnected","Last Connected","Deleted","Notes"
"711d3447-eaee-46f2-acb7-dbe374f60cb8","HTC_2.3.3","HTC Flyer P510e","Android","2.3.3","d8:b3:77:1e:d8:f6","HT15WT402105","HTC","HTC Flyer P510e","HT15WT402105","HTC_HT15WT402105","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-21 11:43:39","","False","Testing note"
"98f33c3e-6b72-4f6b-aad7-5045e624b159","motorola_TA2070KKJN","MB860","Android","2.3.6","c8:aa:21:af:e5:88","TA2070KKJN","motorola","Motorola Attrix","TA2070KKJN","motorola_TA2070KKJN","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-09 05:09:06","","False",""
"5914529c-3a6b-48d8-8aa1-60c468463cfa","samsung_0123456789ABCDEF","GT-I9001","Android","2.3.6","50:cc:f8:16:8a:f1","0123456789ABCDEF","samsung","Galaxy S Plus","0123456789ABCDEF","samsung_0123456789ABCDEF","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-31 09:24:43","","False",""
"e705110e-b61f-4556-9629-74bc36e7f29a","Samsung7GalaxyTab","GT-P6200","Android","3.2","84:25:db:03:25:b4","46411939FE4479BE","samsung","Galaxy Tab 7","46411939FE4479BE","samsung_46411939FE4479BE","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-30 05:44:45","","False",""
"bb81d1bf-e007-4f7e-99c7-eaaed8b7197c","Knidle","KFTT","Android","4.0.3","f0:4f:7c:09:cf:93","D025A0A0302302DF","Amazon","Kindle Fire","D025A0A0302302DF","Amazon_D025A0A0302302DF","","Unknown","","False","Offline","","","","True","0","","","","","","2015-11-16 06:15:07","","False","Hello 123"
"d1d5fb6f-4ada-4025-a4a6-d81afd254ff3","samsung_c1607db10d58e6f","GT-P5100","Android","4.0.4","c8:19:f7:e7:d0:6c","c1607db10d58e6f","samsung","Galaxy Tab 2","c1607db10d58e6f","samsung_c1607db10d58e6f","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-08 16:00:24","","False",""
"0a9869c5-f7ca-4bc6-947d-8caed47c7087","Micromax_Canvass","A210","Android","4.2.1","00:73:8d:03:0c:62","LBDE9595AAQGBIJV","Micromax","Canvas 4","LBDE9595AAQGBIJV","Micromax_LBDE9595AAQGBIJV","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-28 12:20:53","","False","Test Note. Test Note."
"f616720c-02f3-456d-8fea-b44fcdcc322b","Micromax_ONWKYH9HPBHYJNOZ","A210","Android","4.2.1","00:73:8d:03:24:1d","ONWKYH9HPBHYJNOZ","Micromax","Canvas 4","ONWKYH9HPBHYJNOZ","Micromax_ONWKYH9HPBHYJNOZ","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-09 12:32:54","","False",""
"67d74cbb-2ae9-446e-8706-231a01869a74","Spice_Mi498HA14090350","Spice Mi-498","Android","4.4.4","/system/bin/sh: cat: /sys/class/net/eth0/address: No such file or directory","Mi498HA14090350","Spice","Spice Mi-498","Mi498HA14090350","Spice_Mi498HA14090350","","Unknown","","False","Offline","","","","True","","","","","","","2015-12-28 09:26:38","","False",""
"5c794822-69b7-4122-96cb-74b8db629d81","MobileLabsiPad1 ","MC979","IOS","5.0.1","70:de:e2:4f:47:f6","DMPGL6AUDKPH","Apple","iPad 2","647767d5e070806cd7d2787ab59a567a128eabd6","MobileLabsiPad1 ","iPad","Tablet","iPad2,1","False","Offline","","","","True","","","","","","","2015-12-18 05:09:38","","False","gdgdfgfdgdf"
"86ed53da-0949-4122-a0b8-20718de85f89","iPhone4","MC608","IOS","6.0.1","7c:c5:37:bf:a1:cc","80033EKKA4S","Apple","iPhone 4","98bb326ae78b1fbb3d53c3403d5ebc0dff754ea2","iPhone 17","iPhone","Phone","iPhone3,1","False","Offline","","","","True","","","","","","","2015-12-31 09:26:15","","False",""
"ca087955-6dd9-4f7d-af51-7829bf4fa24c","Device111","MC979","IOS","6.1.3","70:de:e2:50:3c:28","DMPGL8T0DKPH","Apple","iPad 2","37fc6a59b8c91a59e11cf0d4253f721dea56d1b8","Naveen iPad","iPad","Tablet","iPad2,1","False","Offline","","","","True","","","","","","","2016-01-01 02:43:54","","False",""
"4bd786d8-a816-4e68-8cea-c77ee6637d61","Device1","MC676","IOS","7.1.2","24:ab:81:d1:c2:91","C79F509CDDP7","Apple","iPhone 4","1434368cd25c203ca012674bd67677e0804322eb","Iphone 7","iPhone","Phone","iPhone3,3","False","Offline","","","","True","","","","","","","2015-12-16 13:50:46","","False","Hello 12345"
"da54d334-2574-49c9-a12c-aeec2ca0c1a4","deviceConnect iPhone","MC318","IOS","7.1.2","7c:c5:37:bc:1b:05","82033V8PA4S","Apple","iPhone 4","fc9384470487de36071d0d803959ddd6bf35a7de","deviceConnect’s iPhone","iPhone","Phone","iPhone3,1","False","Offline","","","","False","","","","","","","2015-12-09 12:33:29","","True",""
